user_id,name,age,location,family_size,transaction_date,transaction_type,category,amount
0,Jaclyn Clark,67,West Lisa,5,04-03-2023,expense,rent,254.771452
0,Jaclyn Clark,67,West Lisa,5,01-12-2022,income,travel,368.1266191
0,Jaclyn Clark,67,West Lisa,5,22-09-2022,income,rent,545.1229821
0,Jaclyn Clark,67,West Lisa,5,25-06-2023,expense,salary,653.7188005
0,Jaclyn Clark,67,West Lisa,5,14-09-2022,income,rent,895.2498485
0,Jaclyn Clark,67,West Lisa,5,21-10-2022,income,entertainment,71.45566811
0,Jaclyn Clark,67,West Lisa,5,22-03-2023,expense,salary,169.9677107
0,Jaclyn Clark,67,West Lisa,5,04-08-2023,expense,salary,252.6284928
0,Jaclyn Clark,67,West Lisa,5,15-08-2023,income,groceries,816.8994002
0,Jaclyn Clark,67,West Lisa,5,07-01-2023,expense,groceries,327.7645265
0,Jaclyn Clark,67,West Lisa,5,17-06-2023,income,utilities,374.8123941
0,Jaclyn Clark,67,West Lisa,5,06-12-2022,expense,salary,44.37242703
0,Jaclyn Clark,67,West Lisa,5,26-12-2022,expense,utilities,377.0005943
0,Jaclyn Clark,67,West Lisa,5,07-06-2023,expense,rent,148.6784722
0,Jaclyn Clark,67,West Lisa,5,06-01-2023,expense,groceries,852.9426542
0,Jaclyn Clark,67,West Lisa,5,24-12-2022,expense,entertainment,639.9753478
0,Jaclyn Clark,67,West Lisa,5,27-09-2022,income,salary,254.0329922
0,Jaclyn Clark,67,West Lisa,5,04-11-2022,income,entertainment,570.2757268
0,Jaclyn Clark,67,West Lisa,5,10-01-2023,income,salary,435.4733706
0,Jaclyn Clark,67,West Lisa,5,05-05-2023,expense,rent,275.3277417
0,Jaclyn Clark,67,West Lisa,5,04-08-2023,income,salary,718.9701992
0,Jaclyn Clark,67,West Lisa,5,18-10-2022,income,utilities,286.5838737
0,Jaclyn Clark,67,West Lisa,5,13-06-2023,expense,rent,41.0990621
0,Jaclyn Clark,67,West Lisa,5,20-03-2023,income,entertainment,39.36480823
